Circassian,Dutch,English,Türkçe,العربية,עברית
псычэты,eend,duck,ördek,بطة,ברווז
шэплъы,paard,horse,at,حصان,סוס
анэл,mol,mole,köstebek,خلد,סנובר
щыдэ,ezel,donkey,eşek,حمار,חמור
хьэ,hond,dog,köpek,كلب,כלב
мэлы,schaap,sheep,koyun,خروف,כבש
учэтыу,kat,cat,kedi,قط,חתול
аслъан,leeuw,lion,aslan,أسد,אריה
бгъжъ,arend,eagle,kartal,نسر,נשר
тхьак1умк1ыхь,koenijn,rabbit,tavşan,أرنب,ארנב
шк1э,kalf,calf,dana,عجل,עגל
пцэжъь1е,vis,fish,balık,سمك,דג
бадзэ,vlieg,fly,sinek,ذبابة,זבוב
шъуаэ,rat,rat,sıçan,جرذ,חולדת
бзыукъолэн,papagaai,parrot,papağan,ببغاء,תוכי
къожъ,zwein,boar,yaban domuzu,خنزير بري,חזיר
