Circassian,English,Dutch,Türkçe,العربية,עברית
лэжьэн,to work,werken,çalışmak,العمل,לעבוד
шэк1он,to hunt,jagen,avlamak,الصيد,לצוד
хьын,to carry,dragen,taşımak,حمل,לנשוא
игъэхъон,to fill,vullen,doldurmak,ملء,למלא
тlын,to dig,graven,kazmak,حفر,לחפור
чъэн,to run,rennen,koşmak,ركض,לרוץ
кlон,to walk,wandelen,yürümek,المشي,ללכת
лъыхъун,to search,zoeken,aramak,بحث,לחפש
еон,to hit,slaan,vurmak,ضرب,להכות
егупшысэн,to think,denken,düşünmek,فكر,לחשוב
шIын,to create,creeeren,oluşturmak,خلق,ליצור
шIын,to build,maken,inşa etmek,بناء,לבנות
гъэпсын,to plan,plannen,planlamak,تخطيط,לתכנן
ублэн,to begin,starten,başlamak,بداية,להתחיל
укъэбзын,to clean,poetsen,temizlemek,تنظيف,לנקות
ухын,to end,eindigen,bitirmek,نهاية,לסיים
гъэшIон,to save,redden,kurtarmak,حفظ,להציל
тегъэкIодэн,to spend,spenderen,harcamak,إنفاق,לבזוז
гъэпщэн,to win,winnen,kazanmak,فوز,לנצח
гъэкIодын,to lose,verliezen,kaybetmek,خسارة,לאבד
Iушъэшъэн,to whisper,fluisteren,fısıldamak,يتسرب,ללחש
куон,to shout,roepen,bağırmak,صياح,לצעוק
убытын,to fetch,ontvangen,getirmek,الحصول,להביא
