Circassian,Dutch,English,Türkçe,العربية,עברית
лэжьэн,werken,to work,çalışmak,للعمل,לעבוד
шэк1он,jagen,to hunt,avlamak,للصيد,לצוד
хьын,dragen,to carry,taşımak,للحمل,לשאת
игъэхъон,vullen,to fill,doldurmak,للملء,למלא
тlын,graven,to dig,kazmak,للحفر,לחפור
чъэн,rennen,to run,koşmak,للركض,לרוץ
кlон,wandelen,to walk,yürümek,للمشي,ללכת
лъыхъун,zoeken,to search,aramak,للبحث,לחפש
еон,slaan,to hit,vurmak,للضرب,להכות
егупшысэн,denken,to think,düşünmek,للتفكير,לחשוב
шIын,creeeren,to create,yaratmak,للخلق,ליצור
шIын,maken,to build,inşa etmek,للبناء,לבנות
гъэпсын,plannen,to plan,planlamak,للتخطيط,לתכנן
ублэн,starten,to begin,başlamak,للشروع,להתחיל
укъэбзын,poetsen,to clean,temizlemek,للتنظيف,לנקות
ухын,eindigen,to end,bitirmek,للإنهاء,לסיים
гъэшIон,redden,to save,kurtarmak,للإنقاذ,להציל
тегъэкIодэн,spenderen,to spend,harcamak,للإنفاق,לבזבז
гъэпщэн,winnen,to win,kazanmak,للفوز,לנצח
гъэкIодын,verliezen,to lose,kaybetmek,للخسارة,להפסיד
Iушъэшъэн,fluisteren,to whisper,fısıldamak,للهمس,ללחוש
убытын,ontvangen,to fetch,getirmek,للإحضار,לקבל
